,Position,Company,State
739,"Sales Consultant/Assistant Sales Manager, PF (Setia City Mall Sales Centre)",FRD PERFORMANCE MOTORSPORT (M) SDN BHD,Selangor
740,Sheetmetal Technician | Aircraft Maintenance | Aviation | Yearly Contract,Neolife International Sdn Bhd,Penang
741,COMPLIANCE OFFICER,Hartamas Real Estate Sdn Bhd,Kuala Lumpur
742,Production Manager,G & W Building Materials Sdn Bhd,Puchong
743,SALES ADMIN (REF: YY),INNOV8TIF SOLUTIONS SDN. BHD.,Kuala Lumpur
744,Customer Service Officer (GL Team),LIFESTYLE DOMAIN SDN. BHD.,Selangor
745,Sales Executive,Taylor's University,Selangor
746,EKSEKUTIF SUMBER MANUSIA,Iconic Lab Sdn. Bhd.,Klang/Port Klang
747,Order Management Coordinator (Customer Service ),MA HUP SENG ENGINEERING SDN BHD,Penang
748,Sales & Marketing Executive,Global Power Services Sdn Bhd,Selangor
749,Indoor Sales Coordinator,PipBox Events Sdn Bhd,Kuala Lumpur
750,MARKETING EXECUTIVE,Keysight Technologies Malaysia Sdn. Bhd.,Kuala Lumpur
751,ACCOUNT EXECUTIVE,Knight Frank Malaysia Sdn Bhd,Kuala Lumpur
752,Marketing Manager,FRD PERFORMANCE MOTORSPORT (M) SDN BHD,Selangor
753,PRODUCTION PLANNER,Infineon Technologies (Malaysia) Sdn Bhd,Kuala Lumpur
754,Business Manager (Digital Supply Chain & Managed Data Services),Ink Marketing Sdn Bhd,Central
755,Sustainability Analyst,MSTS ASIA Sdn Bhd,Teluk Intan
756,Production Admin,PALAQUIN (M) SDN BHD,Selangor
757,Kindergarten Teacher 幼教班老师,27 MARKETING SDN. BHD.,Melaka
758,Procurement Executive,Esmo Asia Pte Ltd,Petaling Jaya
759,Senior Platform Engineer,Citigroup Malaysia,Melaka
760,ACCOUNTANT,TNG Digital Sdn Bhd,Labuan
761,IT Recruiter,MCM Petcare (M) Sdn Bhd,Klang/Port Klang
762,EXECUTIVE - MEMBERSHIP,Web Multisoft International Sdn Bhd,Selangor
763,Human Resource Officer,Linkk Busway Systems (M) Sdn Bhd,Taiping
764,Senior Specialist - Corporate Accounting (6 months FTC),WM ENGINEERING CONSTRUCTION SDN. BHD.,Klang/Port Klang
765,MYS Citibank Berhad - Collections Officer - (20240427),Jora Jobs,Kuala Lumpur
766,MYS Citibank Berhad - Collections Officer - (20239226),Jora Jobs,Butterworth
767,MYS Citibank Berhad - Collections Officer - (20240430),MATRIX TALENT HUMAN RESOURCES SDN. BHD.,Kuala Lumpur
768,Quality Engineer (Precision / 5D / Serangoon North / Up to $3.5k / SPC / FMEA),Brownland,George Town
769,Teachers,MOL ACCESSPORTAL SDN. BHD,Shah Alam/Subang
770,Human Resource Manager,Realtek Singapore Private Limited,Central
771,Digital Marketing (B2B),GREEN-i MULTIMEDIA,Alor Setar
772,Warehouse Manager (Penang),Ideal Quality Sdn Bhd,Johor - Others
773,Multimedia Executive,MHL Industries (Malaysia) Sdn Bhd,East
774,Operation Executive (Precast - QS),Agromaster Fertilizer Sdn Bhd,Kuala Lumpur
775,Software Engineering Intern,WOWSHOP SDN BHD,Petaling Jaya
776,Security Guard,Digi Telecommunications Sdn. Bhd.,Puchong
777,Executive - Business Planning,A&T BUSINESS SOLUTION SERVICES,Kuala Lumpur
778,Sales Consultant,WOWSHOP SDN BHD,Johor Bahru
779,Sales cum Technical Assistant,IDS Medical Systems (M) Sdn Bhd,Shah Alam/Subang
780,Social Media and Content Executive (Mandarin Speaking),MIRS Innovate Pte Ltd,Selangor
781,Sales Incentive Compensation Analyst (Contract),Agromaster Fertilizer Sdn Bhd,Johor Bahru
782,Assistant Marketing Manager (Melaka),Kaisar Maxim Sdn Bhd,Klang/Port Klang
783,Risk Manager,Credit Bureau Malaysia Sdn Bhd,Selangor
784,Senior Manager - Procurement Regional Logistics,Siang Pharmacy Sdn Bhd,Petaling Jaya
785,Account & Admin Assistant,Jora Jobs,Kuala Lumpur
786,Digital Sales & Commercial Transformation Specialist (DSCTS),Sunway Berhad,Klang/Port Klang
787,Business Development Executive,Agensi Pekerjaan GMRecruitment Sdn Bhd,Kuala Lumpur
788,Graphic Designer,Malaysia Expatriate Services Centre Sdn Bhd,Johor
789,Maintenance Supervisor,Press Metal Bintulu Sdn Bhd,Kuala Lumpur
790,Field Application and Service Engineer,University of Reading Malaysia (JB),Company Confidential
791,MYS Citibank Berhad - Collections Officer - (20240429),Alliance Bank Malaysia Berhad,Selangor
792,"Assistant Manager, Finance",Scania (Malaysia) Sdn Bhd,Kajang/Bangi/Serdang
793,ADMIN EXECUTIVE CUM PERSONAL ASSISTANT TO MD,Evolve Realty Sdn Bhd,Kuala Lumpur
794,Accounting Executive- Kuala Lumpur,Davex (Malaysia) Sdn Bhd,Butterworth
795,Logistic Assistant - 5-Day Work Week in Beranang,Gross Synergy Sdn Bhd,Selangor
796,Admin Clerk,Ant Internet Sdn Bhd,Kuala Lumpur
797,Maintenance Technician,Aubella (MM2H) Sdn Bhd,Kuala Lumpur
798,CHEF,Jora Jobs,Kuala Lumpur
799,Business Development Executive,Robert Bosch Power Tools Sdn Bhd,Kuala Lumpur
800,Admin Clerk,MYM Technology (M) Sdn Bhd,Kuala Lumpur
801,MANAGEMENT TRAINEE,Unifrozen Sdn Bhd,Kuala Lumpur
802,MANAGEMENT TRAINEE,Unifrozen Sdn Bhd,Selangor
803,Administrator HR Data Management,Lea Hin Company (Pte) Ltd,Kuala Lumpur
804,Administrator HR Data Management,Lea Hin Company (Pte) Ltd,Melaka
805,Admin Clerk,Wonderfly Holdings Sdn Bhd,Kuala Lumpur
806,Admin Clerk,Wonderfly Holdings Sdn Bhd,Penang - Others
807,Warehouse Planner cum Logistics Executive,GPGC Resources  Sdn Bhd,Melaka
808,Warehouse Planner cum Logistics Executive,GPGC Resources  Sdn Bhd,Johor
809,eCommerce Business Development Executive,Niro Ceramic (M) Sdn Bhd,Johor Bahru
810,eCommerce Business Development Executive,Niro Ceramic (M) Sdn Bhd,Petaling Jaya
811,Supply Chain Assistant (6 months contract),Cytopeutics Sdn Bhd,Johor Bahru
812,Supply Chain Assistant (6 months contract),Cytopeutics Sdn Bhd,Kota Tinggi
813,Supply Chain Assistant (6 months contract),Cytopeutics Sdn Bhd,Pontian
814,Electrical Site Supervisor,TELE-PAPER (M) SDN BHD,Downtown Core
815,Electrical Site Supervisor,TELE-PAPER (M) SDN BHD,Central
816,Quality Assurance & Control Manager / Asst QC Manager,AVNET ASIA PTE LTD,Others
817,Quality Assurance & Control Manager / Asst QC Manager,AVNET ASIA PTE LTD,Singapore
818,Executive Credit Administration (PJ City),QR Management Sdn Bhd,Kedah
819,Executive Credit Administration (PJ City),QR Management Sdn Bhd,Penang
820,Executive Credit Administration (PJ City),QR Management Sdn Bhd,Selangor
821,Warehouse Supervisor,China Communications Construction (ECRL) Sdn. Bhd.,Kuala Lumpur
822,Warehouse Supervisor,China Communications Construction (ECRL) Sdn. Bhd.,Selangor
823,Hotel Chief Engineer,Corporate Builders Sdn Bhd,Jakarta Utara
824,Hotel Chief Engineer,Corporate Builders Sdn Bhd,Jakarta Raya
825,Sales Executive,Caspian Digital Solutions,Klang/Port Klang
826,Sales Executive,Caspian Digital Solutions,Puchong
827,Technician Electronic (Puchong),SYARIKAT PERUSAHAAN JOOI BERSAUDARA SDN. BHD.,Johor Bahru
828,Technician Electronic (Puchong),SYARIKAT PERUSAHAAN JOOI BERSAUDARA SDN. BHD.,Kuantan
829,Asst.Manager Service cum Applications,Smart Decor Pte Ltd,Johor Bahru
830,Asst.Manager Service cum Applications,Smart Decor Pte Ltd,Melaka
831,Sales & Marketing Executive,Huama International Sdn Bhd,Kuala Lumpur
832,Sales & Marketing Executive,Huama International Sdn Bhd,Selangor
833,Admin Executive,Jora Jobs,Kuala Lumpur
834,Admin Executive,Jora Jobs,Selangor
835,Digital Marketer,INNOV8TIF SOLUTIONS SDN. BHD.,Bayan Lepas
836,Digital Marketer,INNOV8TIF SOLUTIONS SDN. BHD.,Petaling Jaya
837,Internship for Business Studies/Administration Students,Oglaend Industries Sdn Bhd,Puchong
838,Internship for Business Studies/Administration Students,Oglaend Industries Sdn Bhd,Kajang/Bangi/Serdang
839,Engineering Internship,TNG Digital Sdn Bhd,Kuala Lumpur
840,Engineering Internship,TNG Digital Sdn Bhd,Selangor
841,Revenue and Cost Accountant,JA Solar Malaysia Sdn Bhd,Puchong
842,Revenue and Cost Accountant,JA Solar Malaysia Sdn Bhd,Kajang/Bangi/Serdang
843,Customer Experience Analyst (CXA),UNISEM GROUP,Others
844,Customer Experience Analyst (CXA),UNISEM GROUP,East
845,Project Lead Engineer,MatchBox Exchange Pte. Ltd,Johor
846,Project Lead Engineer,MatchBox Exchange Pte. Ltd,Kedah
847,Project Lead Engineer,MatchBox Exchange Pte. Ltd,Kuala Lumpur
848,Project Lead Engineer,MatchBox Exchange Pte. Ltd,Kelantan
849,Project Lead Engineer,MatchBox Exchange Pte. Ltd,Melaka
850,Project Lead Engineer,MatchBox Exchange Pte. Ltd,Negeri Sembilan
851,Project Lead Engineer,MatchBox Exchange Pte. Ltd,Penang
852,Project Lead Engineer,MatchBox Exchange Pte. Ltd,Pahang
853,Project Lead Engineer,MatchBox Exchange Pte. Ltd,Perak
854,Project Lead Engineer,MatchBox Exchange Pte. Ltd,Perlis
855,Project Lead Engineer,MatchBox Exchange Pte. Ltd,Sabah
856,Project Lead Engineer,MatchBox Exchange Pte. Ltd,Selangor
857,Project Lead Engineer,MatchBox Exchange Pte. Ltd,Sarawak
858,Project Lead Engineer,MatchBox Exchange Pte. Ltd,Terengganu
859,Project Lead Engineer,MatchBox Exchange Pte. Ltd,Labuan
860,Project Lead Engineer,MatchBox Exchange Pte. Ltd,Putrajaya
861,HR Analyst ( 6 months contract/ shared service),NOLEK SDN BHD,Cheras
862,HR Analyst ( 6 months contract/ shared service),NOLEK SDN BHD,Kajang/Bangi/Serdang
863,ACCOUNTS & ADMIN OFFICER,AGILE REAL ESTATE DEVELOPMENT (M) SDN. BHD.,Johor
864,ACCOUNTS & ADMIN OFFICER,AGILE REAL ESTATE DEVELOPMENT (M) SDN. BHD.,Kuala Lumpur
865,ACCOUNTS & ADMIN OFFICER,AGILE REAL ESTATE DEVELOPMENT (M) SDN. BHD.,Melaka
866,ACCOUNTS & ADMIN OFFICER,AGILE REAL ESTATE DEVELOPMENT (M) SDN. BHD.,Sabah
867,ACCOUNTS & ADMIN OFFICER,AGILE REAL ESTATE DEVELOPMENT (M) SDN. BHD.,Sarawak
868,SOC Engineer    SOC Analyst,Machines Sdn Bhd,Shah Alam/Subang
869,SOC Engineer    SOC Analyst,Machines Sdn Bhd,Perak
870,"GENERAL MANAGER, FINANCE (Based at Nilai)",GAMUDA LAND SDN BHD,Yishun
871,"GENERAL MANAGER, FINANCE (Based at Nilai)",GAMUDA LAND SDN BHD,North
872,"GENERAL MANAGER, FINANCE (Based at Nilai)",GAMUDA LAND SDN BHD,Tampines
873,"GENERAL MANAGER, FINANCE (Based at Nilai)",GAMUDA LAND SDN BHD,East
874,Remote Desktop Support Engineer,Inter Great (M) Sdn Bhd,Queenstown
875,Remote Desktop Support Engineer,Inter Great (M) Sdn Bhd,Central
876,TECHNICAL MANAGER,Pahang Pharmacy Sdn Bhd,Kuala Lumpur
877,TECHNICAL MANAGER,Pahang Pharmacy Sdn Bhd,Kota Kinabalu
878,Marketing Executive,DKSH Malaysia Sdn Bhd,Newton
879,Marketing Executive,DKSH Malaysia Sdn Bhd,Central
880,Personal Assistant,Roland Manufacturing Malaysia Sdn Bhd,Kuala Lumpur
881,Personal Assistant,Roland Manufacturing Malaysia Sdn Bhd,Selangor
882,Bridge Design Engineer,SIHI Pumps (Malaysia) Sdn Bhd,Selangor
883,Bridge Design Engineer,SIHI Pumps (Malaysia) Sdn Bhd,Kuala Lumpur
884,Lifeguard,Pengerang Terminals (Two) Sdn Bhd,Puchong
885,Lifeguard,Pengerang Terminals (Two) Sdn Bhd,Subang Jaya
886,Lifeguard,Pengerang Terminals (Two) Sdn Bhd,Petaling Jaya
887,SENIOR CHEMIST,Jora Jobs,Kuala Lumpur
888,SENIOR CHEMIST,Jora Jobs,Butterworth
889,Telesales 电话销售-销售 - Basic+5 DIGITS Commission - SPM Fresh welcome-P6,[BEST INC.]MAY EXPRESS LOGISTICS SDN. BHD.,Kuala Lumpur
890,Telesales 电话销售-销售 - Basic+5 DIGITS Commission - SPM Fresh welcome-P6,[BEST INC.]MAY EXPRESS LOGISTICS SDN. BHD.,Selangor
891,ECOMMERECE DIGITAL MARKETING,IOI Properties Group Berhad (Property Development),Kuala Lumpur
892,ECOMMERECE DIGITAL MARKETING,IOI Properties Group Berhad (Property Development),Selangor
893,General Clerk,Appvalley Technology Sdn Bhd,Queenstown
894,General Clerk,Appvalley Technology Sdn Bhd,Central
895,"Assistant Manager, Internal Audit",BIO LIFE NEUTRACEUTICALS SDN. BHD.,Johor
896,"Assistant Manager, Internal Audit",BIO LIFE NEUTRACEUTICALS SDN. BHD.,Selangor
897,Service Technician,HENGYUAN REFINING COMPANY  BERHAD,Kuala Lumpur
898,Service Technician,HENGYUAN REFINING COMPANY  BERHAD,Sarawak
899,TECHNICAL CLERK,Celcom Axiata Berhad,Johor Bahru
900,TECHNICAL CLERK,Celcom Axiata Berhad,Penang
901,Tax Associate,Hong Leong Bank Berhad,Kuala Lumpur
902,Tax Associate,Hong Leong Bank Berhad,Kelantan
903,Tax Associate,Hong Leong Bank Berhad,Klang/Port Klang
904,Tax Associate,Hong Leong Bank Berhad,Shah Alam/Subang
905,eMail Content Marketing Specialist,Elabram Systems Sdn Bhd,Nilai
906,eMail Content Marketing Specialist,Elabram Systems Sdn Bhd,Selangor
907,Sales Management Trainee,ASK Resources,Johor
908,Sales Management Trainee,ASK Resources,Kedah
909,Sales Management Trainee,ASK Resources,Kuala Lumpur
910,Sales Management Trainee,ASK Resources,Melaka
911,Sales Management Trainee,ASK Resources,Penang
912,Sales Management Trainee,ASK Resources,Sabah
913,Sales Management Trainee,ASK Resources,Terengganu
914,Sales Management Trainee,ASK Resources,Labuan
915,Human Resource Junior Executive,Rocketsview Management Sdn Bhd,Perai
916,Human Resource Junior Executive,Rocketsview Management Sdn Bhd,Selangor
917,External Audit Executive (Short term contract),ADVANCED ASSEMBLY MATERIALS (M) SDN. BHD.,Kuantan
918,External Audit Executive (Short term contract),ADVANCED ASSEMBLY MATERIALS (M) SDN. BHD.,Shah Alam/Subang
919,Management Trainee,Trisystems Engineering Sdn Bhd,Sungei Kadut
920,Management Trainee,Trisystems Engineering Sdn Bhd,Singapore
921,Medical Representative,TONIK ASIA GROUP SDN BHD,Others
922,Medical Representative,TONIK ASIA GROUP SDN BHD,Singapore
923,"EXECUTIVE, MEMBER SERVICES",Plexus Manufacturing Sdn Bhd,Kuala Lumpur
924,"EXECUTIVE, MEMBER SERVICES",Plexus Manufacturing Sdn Bhd,Selangor
925,Technician - Fixed night shift (no exp req),Public Bank Berhad,Johor
926,Technician - Fixed night shift (no exp req),Public Bank Berhad,Kuala Lumpur
927,Technician - Fixed night shift (no exp req),Public Bank Berhad,Kelantan
928,Technician - Fixed night shift (no exp req),Public Bank Berhad,Melaka
929,Technician - Fixed night shift (no exp req),Public Bank Berhad,Penang
930,Technician - Fixed night shift (no exp req),Public Bank Berhad,Pahang
931,Technician - Fixed night shift (no exp req),Public Bank Berhad,Perak
932,Technician - Fixed night shift (no exp req),Public Bank Berhad,Selangor
933,Technician - Fixed night shift (no exp req),Public Bank Berhad,Sarawak
934,Technician - Fixed night shift (no exp req),Public Bank Berhad,Terengganu
935,"Executive,Planning",WCT Malls Management Sdn. Bhd.,Queenstown
936,"Executive,Planning",WCT Malls Management Sdn. Bhd.,Central
937,"Senior Executive, Group Digital Marketing (Social Media)",RED ARCHITECT & ENGINEER SDN. BHD.,Johor
938,"Senior Executive, Group Digital Marketing (Social Media)",RED ARCHITECT & ENGINEER SDN. BHD.,Kedah
939,"Senior Executive, Group Digital Marketing (Social Media)",RED ARCHITECT & ENGINEER SDN. BHD.,Kuala Lumpur
940,"Senior Executive, Group Digital Marketing (Social Media)",RED ARCHITECT & ENGINEER SDN. BHD.,Melaka
941,"Senior Executive, Group Digital Marketing (Social Media)",RED ARCHITECT & ENGINEER SDN. BHD.,Negeri Sembilan
942,"Senior Executive, Group Digital Marketing (Social Media)",RED ARCHITECT & ENGINEER SDN. BHD.,Penang
943,"Senior Executive, Group Digital Marketing (Social Media)",RED ARCHITECT & ENGINEER SDN. BHD.,Perak
944,"Senior Executive, Group Digital Marketing (Social Media)",RED ARCHITECT & ENGINEER SDN. BHD.,Selangor
945,Sales Executives,Jora Jobs,Johor
946,Sales Executives,Jora Jobs,Kuala Lumpur
947,Sales Executives,Jora Jobs,Negeri Sembilan
948,Sales Executives,Jora Jobs,Selangor
949,Sales & Marketing Manager (Based in KL),ABITEX DESIGNS (M) SDN BHD,Johor
950,Sales & Marketing Manager (Based in KL),ABITEX DESIGNS (M) SDN BHD,Kedah
951,Sales & Marketing Manager (Based in KL),ABITEX DESIGNS (M) SDN BHD,Kuala Lumpur
952,Sales & Marketing Manager (Based in KL),ABITEX DESIGNS (M) SDN BHD,Kelantan
953,Sales & Marketing Manager (Based in KL),ABITEX DESIGNS (M) SDN BHD,Melaka
954,Sales & Marketing Manager (Based in KL),ABITEX DESIGNS (M) SDN BHD,Negeri Sembilan
955,Sales & Marketing Manager (Based in KL),ABITEX DESIGNS (M) SDN BHD,Penang
956,Sales & Marketing Manager (Based in KL),ABITEX DESIGNS (M) SDN BHD,Pahang
957,Sales & Marketing Manager (Based in KL),ABITEX DESIGNS (M) SDN BHD,Perak
958,Sales & Marketing Manager (Based in KL),ABITEX DESIGNS (M) SDN BHD,Perlis
959,Sales & Marketing Manager (Based in KL),ABITEX DESIGNS (M) SDN BHD,Sabah
960,Sales & Marketing Manager (Based in KL),ABITEX DESIGNS (M) SDN BHD,Selangor
961,Sales & Marketing Manager (Based in KL),ABITEX DESIGNS (M) SDN BHD,Sarawak
962,Sales & Marketing Manager (Based in KL),ABITEX DESIGNS (M) SDN BHD,Terengganu
963,Programmer,Kossan Rubber Industries Berhad,Kuala Lumpur
964,Programmer,Kossan Rubber Industries Berhad,Selangor
965,Inside Technical Sales Specialist,Bridgestone Tyre Sales (M) Sdn Bhd,Penang
966,Inside Technical Sales Specialist,Bridgestone Tyre Sales (M) Sdn Bhd,Petaling Jaya
967,Lodging Partner Associate I (Korean Language Support),REN HR CONSULTING SDN BHD,Kuala Lumpur
968,Lodging Partner Associate I (Korean Language Support),REN HR CONSULTING SDN BHD,Selangor
969,Multimedia Designer cum Animation 多媒体动画设计师,JB GIFT & SOUVENIR (M) SDN BHD,Selangor
970,Multimedia Designer cum Animation 多媒体动画设计师,JB GIFT & SOUVENIR (M) SDN BHD,Kuala Lumpur
971,HOSTESS,FRD PERFORMANCE MOTORSPORT (M) SDN BHD,Changi
972,HOSTESS,FRD PERFORMANCE MOTORSPORT (M) SDN BHD,East
973,HOSTESS,FRD PERFORMANCE MOTORSPORT (M) SDN BHD,Clementi
974,HOSTESS,FRD PERFORMANCE MOTORSPORT (M) SDN BHD,West
975,HOSTESS,FRD PERFORMANCE MOTORSPORT (M) SDN BHD,Others
976,HOSTESS,FRD PERFORMANCE MOTORSPORT (M) SDN BHD,Central
977,MYS Citibank Berhad - Collections Officer - (20240432),GRAND PACIFIC F&B SDN. BHD.,Kedah
978,MYS Citibank Berhad - Collections Officer - (20240432),GRAND PACIFIC F&B SDN. BHD.,Kuala Lumpur
979,MYS Citibank Berhad - Collections Officer - (20240432),GRAND PACIFIC F&B SDN. BHD.,Penang
980,MYS Citibank Berhad - Collections Officer - (20240432),GRAND PACIFIC F&B SDN. BHD.,Perak
981,MYS Citibank Berhad - Collections Officer - (20240428),UNITAR International University,West
982,MYS Citibank Berhad - Collections Officer - (20240428),UNITAR International University,Singapore
983,MYS Citibank Berhad - Collections Officer - (20240433),Phitomas Sdn Bhd,Paya Lebar
984,MYS Citibank Berhad - Collections Officer - (20240433),Phitomas Sdn Bhd,East
985,Store Assistant,9 HEALTH SDN BHD,Selangor
986,Store Assistant,9 HEALTH SDN BHD,Kuala Lumpur
